Running on hadoop, using /opt/hadoop-2.4.0/bin/hadoop and HADOOP_CONF_DIR=
MAHOUT-JOB: /opt/mahout/examples/target/mahout-examples-1.0-SNAPSHOT-job.jar
14/07/19 13:34:23 WARN driver.MahoutDriver: No cvb.props found on classpath, will use command-line arguments only
14/07/19 13:34:24 INFO common.AbstractJob: Command line arguments: {--convergenceDelta=[0.0], --dictionary=[/cw-seqdir-sparse-lda/dictionary.file-*], --doc_topic_output=[/runs/r18/doc-topics], --doc_topic_smoothing=[1.0E-4], --endPhase=[2147483647], --input=[/cw-out-matrix/matrix], --iteration_block_size=[10], --maxIter=[1], --max_doc_topic_iters=[10], --num_reduce_tasks=[60], --num_topics=[10], --num_train_threads=[4], --num_update_threads=[4], --output=[/runs/r18/topics], --random_seed=[42], --startPhase=[0], --tempDir=[/runs/r18/cas-temp/], --term_topic_smoothing=[1.0E-4], --test_set_fraction=[0.1]}
14/07/19 13:34:24 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
14/07/19 13:34:49 INFO cvb.CVB0Driver: Will run Collapsed Variational Bayes (0th-derivative approximation) learning for LDA on /cw-out-matrix/matrix (numTerms: 13914453), finding 10-topics, with document/topic prior 1.0E-4, topic/term prior 1.0E-4.  Maximum iterations to run will be 1, unless the change in perplexity is less than 0.0.  Topic model output (p(term|topic) for each topic) will be stored /runs/r18/topics.  Random initialization seed is 42, holding out 0.1 of the data for perplexity check

14/07/19 13:34:49 INFO cvb.CVB0Driver: Dictionary to be used located /cw-seqdir-sparse-lda/dictionary.file-*
p(topic|docId) will be stored /runs/r18/doc-topics

14/07/19 13:34:49 INFO cvb.CVB0Driver: Current iteration number: 0
14/07/19 13:34:49 INFO cvb.CVB0Driver: About to run iteration 1 of 1
14/07/19 13:34:49 INFO cvb.CVB0Driver: About to run: Iteration 1 of 1, input path: /runs/r18/cas-temp/topicModelState/model-0
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.input.dir is deprecated. Instead, use mapreduce.input.fileinputformat.inputdir
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.compress.map.output is deprecated. Instead, use mapreduce.map.output.compress
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.output.dir is deprecated. Instead, use mapreduce.output.fileoutputformat.outputdir
14/07/19 13:34:50 INFO client.RMProxy: Connecting to ResourceManager at dco-node121.dco.ethz.ch/172.31.109.131:8032
14/07/19 13:34:57 INFO input.FileInputFormat: Total input paths to process : 1
14/07/19 13:35:02 INFO mapreduce.JobSubmitter: number of splits:1096
14/07/19 13:35:03 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1405769650846_0001
14/07/19 13:35:03 INFO impl.YarnClientImpl: Submitted application application_1405769650846_0001
14/07/19 13:35:03 INFO mapreduce.Job: The url to track the job: http://dco-node121.dco.ethz.ch:8088/proxy/application_1405769650846_0001/
14/07/19 13:35:03 INFO mapreduce.Job: Running job: job_1405769650846_0001
14/07/19 13:35:12 INFO mapreduce.Job: Job job_1405769650846_0001 running in uber mode : false
14/07/19 13:35:12 INFO mapreduce.Job:  map 0% reduce 0%
14/07/19 13:35:56 INFO mapreduce.Job:  map 1% reduce 0%
14/07/19 13:36:12 INFO mapreduce.Job:  map 2% reduce 0%
14/07/19 13:36:25 INFO mapreduce.Job:  map 3% reduce 0%
14/07/19 13:36:39 INFO mapreduce.Job:  map 4% reduce 0%
14/07/19 13:36:52 INFO mapreduce.Job:  map 5% reduce 0%
14/07/19 13:37:06 INFO mapreduce.Job:  map 6% reduce 0%
14/07/19 13:37:19 INFO mapreduce.Job:  map 7% reduce 0%
14/07/19 13:37:31 INFO mapreduce.Job:  map 8% reduce 0%
14/07/19 13:37:45 INFO mapreduce.Job:  map 9% reduce 0%
14/07/19 13:37:58 INFO mapreduce.Job:  map 10% reduce 0%
14/07/19 13:38:16 INFO mapreduce.Job:  map 11% reduce 0%
14/07/19 13:39:40 INFO mapreduce.Job:  map 12% reduce 0%
14/07/19 13:39:46 INFO mapreduce.Job:  map 13% reduce 0%
14/07/19 13:39:50 INFO mapreduce.Job:  map 14% reduce 0%
14/07/19 13:39:57 INFO mapreduce.Job:  map 15% reduce 0%
14/07/19 13:40:04 INFO mapreduce.Job:  map 16% reduce 0%
14/07/19 13:40:13 INFO mapreduce.Job:  map 17% reduce 0%
14/07/19 13:40:32 INFO mapreduce.Job:  map 18% reduce 0%
14/07/19 13:40:48 INFO mapreduce.Job:  map 19% reduce 0%
14/07/19 13:41:01 INFO mapreduce.Job:  map 20% reduce 0%
14/07/19 13:41:14 INFO mapreduce.Job:  map 21% reduce 0%
14/07/19 13:41:28 INFO mapreduce.Job:  map 22% reduce 0%
14/07/19 13:41:42 INFO mapreduce.Job:  map 23% reduce 0%
14/07/19 13:41:58 INFO mapreduce.Job:  map 24% reduce 0%
14/07/19 13:42:20 INFO mapreduce.Job:  map 25% reduce 0%
14/07/19 13:43:02 INFO mapreduce.Job:  map 26% reduce 0%
14/07/19 13:43:33 INFO mapreduce.Job:  map 27% reduce 0%
14/07/19 13:43:53 INFO mapreduce.Job:  map 28% reduce 0%
14/07/19 13:44:06 INFO mapreduce.Job:  map 29% reduce 0%
14/07/19 13:44:15 INFO mapreduce.Job:  map 30% reduce 0%
14/07/19 13:44:29 INFO mapreduce.Job:  map 31% reduce 0%
14/07/19 13:44:40 INFO mapreduce.Job:  map 32% reduce 0%
14/07/19 13:44:49 INFO mapreduce.Job:  map 32% reduce 1%
14/07/19 13:44:51 INFO mapreduce.Job:  map 33% reduce 1%
14/07/19 13:45:07 INFO mapreduce.Job:  map 34% reduce 1%
14/07/19 13:45:28 INFO mapreduce.Job:  map 35% reduce 1%
14/07/19 13:45:51 INFO mapreduce.Job:  map 36% reduce 1%
14/07/19 13:46:15 INFO mapreduce.Job:  map 37% reduce 1%
14/07/19 13:46:33 INFO mapreduce.Job:  map 38% reduce 1%
14/07/19 13:46:53 INFO mapreduce.Job:  map 39% reduce 1%
14/07/19 13:47:15 INFO mapreduce.Job:  map 40% reduce 1%
14/07/19 13:47:37 INFO mapreduce.Job:  map 41% reduce 1%
14/07/19 13:48:00 INFO mapreduce.Job:  map 42% reduce 1%
